# r_kpc   Phi_(km/s)^2   g_(km/s)^2/kpc
1.00000000e-02 -2.66710624e+08 9.88470663e+07
1.00262845e-02 -2.66708026e+08 9.88457429e+07
1.00526380e-02 -2.66705421e+08 9.88444161e+07
1.00790608e-02 -2.66702809e+08 9.88430858e+07
1.01055531e-02 -2.66700190e+08 9.88417521e+07
1.01321150e-02 -2.66697565e+08 9.88404148e+07
1.01587467e-02 -2.66694933e+08 9.88390741e+07
1.01854484e-02 -2.66692294e+08 9.88377298e+07
1.02122203e-02 -2.66689648e+08 9.88363821e+07
1.02390626e-02 -2.66686995e+08 9.88350308e+07
1.02659754e-02 -2.66684335e+08 9.88336760e+07
1.02929590e-02 -2.66681668e+08 9.88323177e+07
1.03200135e-02 -2.66678994e+08 9.88309558e+07
1.03471391e-02 -2.66676313e+08 9.88295903e+07
1.03743360e-02 -2.66673625e+08 9.88282213e+07
1.04016043e-02 -2.66670930e+08 9.88268487e+07
1.04289444e-02 -2.66668229e+08 9.88254725e+07
1.04563563e-02 -2.66665520e+08 9.88240927e+07
1.04838403e-02 -2.66662804e+08 9.88227094e+07
1.05113965e-02 -2.66660080e+08 9.88213224e+07
1.05390251e-02 -2.66657350e+08 9.88199317e+07
1.05667264e-02 -2.66654613e+08 9.88185375e+07
1.05945005e-02 -2.66651868e+08 9.88171396e+07
1.06223475e-02 -2.66649116e+08 9.88157380e+07
1.06502678e-02 -2.66646357e+08 9.88143328e+07
1.06782615e-02 -2.66643591e+08 9.88129239e+07
1.07063287e-02 -2.66640818e+08 9.88115114e+07
1.07344697e-02 -2.66638037e+08 9.88100951e+07
1.07626847e-02 -2.66635249e+08 9.88086752e+07
1.07909738e-02 -2.66632454e+08 9.88072515e+07
1.08193373e-02 -2.66629652e+08 9.88058242e+07
1.08477753e-02 -2.66626842e+08 9.88043931e+07
1.08762881e-02 -2.66624025e+08 9.88029582e+07
1.09048759e-02 -2.66621200e+08 9.88015196e+07
1.09335387e-02 -2.66618368e+08 9.88000773e+07
1.09622770e-02 -2.66615529e+08 9.87986312e+07
1.09910907e-02 -2.66612682e+08 9.87971813e+07
1.10199802e-02 -2.66609828e+08 9.87957276e+07
1.10489456e-02 -2.66606966e+08 9.87942701e+07
1.10779872e-02 -2.66604097e+08 9.87928088e+07
1.11071051e-02 -2.66601221e+08 9.87913437e+07
1.11362995e-02 -2.66598336e+08 9.87898748e+07
1.11655707e-02 -2.66595445e+08 9.87884020e+07
1.11949188e-02 -2.66592546e+08 9.87869254e+07
1.12243440e-02 -2.66589639e+08 9.87854450e+07
1.12538466e-02 -2.66586724e+08 9.87839606e+07
1.12834267e-02 -2.66583802e+08 9.87824724e+07
1.13130846e-02 -2.66580873e+08 9.87809804e+07
1.13428204e-02 -2.66577935e+08 9.87794844e+07
1.13726344e-02 -2.66574990e+08 9.87779845e+07
1.14025268e-02 -2.66572038e+08 9.87764807e+07
1.14324977e-02 -2.66569077e+08 9.87749729e+07
1.14625474e-02 -2.66566109e+08 9.87734613e+07
1.14926761e-02 -2.66563133e+08 9.87719456e+07
1.15228840e-02 -2.66560150e+08 9.87704261e+07
1.15531712e-02 -2.66557158e+08 9.87689025e+07
1.15835381e-02 -2.66554159e+08 9.87673750e+07
1.16139848e-02 -2.66551152e+08 9.87658435e+07
1.16445116e-02 -2.66548137e+08 9.87643080e+07
1.16751185e-02 -2.66545114e+08 9.87627685e+07
1.17058059e-02 -2.66542083e+08 9.87612249e+07
1.17365740e-02 -2.66539044e+08 9.87596774e+07
1.17674230e-02 -2.66535998e+08 9.87581257e+07
1.17983530e-02 -2.66532943e+08 9.87565701e+07
1.18293643e-02 -2.66529881e+08 9.87550104e+07
1.18604572e-02 -2.66526810e+08 9.87534466e+07
1.18916318e-02 -2.66523732e+08 9.87518787e+07
1.19228883e-02 -2.66520645e+08 9.87503068e+07
1.19542269e-02 -2.66517550e+08 9.87487307e+07
1.19856480e-02 -2.66514448e+08 9.87471505e+07
1.20171516e-02 -2.66511337e+08 9.87455662e+07
1.20487380e-02 -2.66508218e+08 9.87439778e+07
1.20804075e-02 -2.66505091e+08 9.87423852e+07
1.21121602e-02 -2.66501955e+08 9.87407884e+07
1.21439964e-02 -2.66498812e+08 9.87391875e+07
1.21759162e-02 -2.66495660e+08 9.87375824e+07
