Table 1 
ELVES Host List


Name	Dist	v _rec	${M}_{{K}_{s}}$	${M}_{{K}_{s}}^{\mathrm{group}}$	M _V	B - V	$\mathrm{log}({M}_{\star }/{M}_{\odot })$	r _cover	Data Source	References	
	(Mpc)	(km s^-1)	(mag)	(mag)	(mag)	(mag)		(kpc)			
M31	0.78	-300	-24.81	-24.89	-21.19	0.87	11.01	300	M12	CF, RC3, Sick15	
NGC 253	3.56	259	-23.95	-23.96	-20.7	0.94	10.77	300	D- -D	CF, Cook14a, Cook14b	
NGC 628	9.77	656	-22.79	-22.81	-20.68	0.48	10.45	300	D-G-D	CF, Cook14a, Cook14b	
NGC 891	9.12	528	-23.83	-23.83	-20.05	0.82	10.84	200	C-C-C	CF, GALEX, ${M}_{{K}_{s}}$	
NGC 1023	10.4	638	-23.78	-23.98	-20.91	0.95	10.6	200	C-C-C	NED, GALEX, ${M}_{{K}_{s}}$	
NGC 1291	9.08	838	-23.94	-23.97	-21.01	1.0	10.78	300	D-D,M-D	CF, Cook14a, Ler19	
NGC 1808	9.29	1002	-23.12	-23.78	-19.98	0.79	10.01	300	D-D,G,H,M-D	CF, RC3, Ler19	
NGC 2683	9.4	409	-23.49	-23.5	-20.17	0.86	10.5	300	D-H-D	K15, Cook14a, Ler19	
NGC 2903	9.0	556	-23.68	-23.69	-20.78	0.65	10.67	300	D-G,C-D	K13&T19, Cook14a, Cook14b	
M81	3.61	-42	-23.89	-25.27	-21.07	0.88	10.66	300	C13-C13-C13,D	CF, GALEX, Ler19	
NGC 3115	10.2	666	-24.12	-24.14	-21.27	0.93	10.76	300	D-G-D	Pea15, RC3, Ler19	
NGC 3344	9.82	585	-22.27	-22.27	-20.19	0.65	10.27	300	D-H-D	CF, Cook14a, Ler19	
NGC 3379	10.7	876	-23.8	-25.37	-20.46	0.78	10.63	370	D-H-D	M18, HT11, Ler19	
NGC 3521	11.2	798	-24.4	-24.41	-21.39	0.76	10.83	330	D-H-D	This Work, GALEX, Ler19	
NGC 3556	9.55	698	-22.76	-22.76	-19.96	0.69	9.94	300	D- -D	CF, RC3, Ler19	
NGC 3621	6.7	731	-22.37	-22.37	-19.79	0.55	9.9	0	- -	CF, RC3, Ler19	
NGC 3627	10.5	789	-24.17	-25.33	-21.28	0.7	10.66	300	D-C,H-D	Lee13, GALEX, Ler19	
NGC 4258	7.2	462	-23.7	-23.94	-20.92	0.71	10.62	150	C,D-C,H-C,D	H13, Cook14a, Ler19	
NGC 4517	8.34	1136	-22.13	-22.16	-19.27	0.67	9.93	300	D-H-D	K14, RC3, ${M}_{{K}_{s}}$	
NGC 4565	11.9	1261	-24.26	-24.27	-20.84	0.82	10.88	150	C-C-C	RS11, RC3, Ler19	
M104	9.55	1092	-24.91	-25.01	-22.04	0.94	11.09	150	C-C-C	McQ16a, RC3, Ler19	
NGC 4631	7.4	606	-22.73	-22.9	-20.21	0.55	10.05	200	C,D-C,G-C,D	RS11, RC3, Ler19	
NGC 4736	4.2	287	-22.96	-23.1	-19.93	0.74	10.29	300	D-S18-D	RS11, RC3, Ler19	
NGC 4826	5.3	402	-23.24	-23.24	-20.21	0.8	10.36	300	D-H,C-D	CF, RC3, Ler19	
NGC 5055	8.87	503	-24.02	-24.04	-21.2	0.71	10.72	300	D-H-D	McQ17, RC3, Ler19	
CENA	3.66	548	-23.87	-24.41	-21.29	0.89	10.92	200	M/C19-M/C19-Dc,M17	CF, RC3, Ler19	
NGC 5194	8.58	465	-24.08	-24.51	-21.4	0.56	10.73	150	C-C-C	McQ16b, GALEX, Ler19	
NGC 5236	4.7	520	-23.64	-23.67	-21.02	0.53	10.37	300	M15-M18,D-D	CF, Cook14a, Ler19	
NGC 5457	6.5	243	-23.12	-23.16	-21.22	0.44	10.33	300	D-B19,C,H-C,D	Beat19, RC3, Ler19	
NGC 6744	8.95	839	-23.58	-24.0	-21.64	0.86	10.64	200	Dc-Dc-Dc	CF, RC3/HyperLeda, Ler19	
MW	0	0	-24.0	-24.13	-20.74	0.67	10.78	300	M12	Lic15, BG16	
